Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
Y,AB,AllianceBernstein Holding L.P.  Units,N, ,N,100.0,N,,AB,AB,N
Y,AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),N, ,N,100.0,N,,AEB,AEB,N
Y,AGBAU,AGBA Acquisition Limited - Unit,Q,S,N,100.0,N,N,,AGBAU,N
Y,AKG,Asanko Gold Inc.,A, ,N,100.0,N,,AKG,AKG,N
Y,AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,N, ,N,100.0,N,,AMN,AMN,N
Y,ASA,ASA  Gold and Precious Metals Limited,N, ,N,100.0,N,,ASA,ASA,N
Y,AZZ,AZZ Inc.,N, ,N,100.0,N,,AZZ,AZZ,N
Y,BAK,Braskem SA ADR,N, ,N,100.0,N,,BAK,BAK,N
Y,BBAR,Banco BBVA Argentina S.A. ADS,N, ,N,100.0,N,,BBAR,BBAR,N
Y,BBL,BHP Group PlcSponsored ADR,N, ,N,100.0,N,,BBL,BBL,N
Y,BCH,Banco De Chile Banco De Chile ADS,N, ,N,100.0,N,,BCH,BCH,N
Y,BFOR,Barron's 400,P, ,Y,100.0,N,,BFOR,BFOR,N
Y,BG,Bunge Limited Bunge Limited,N, ,N,100.0,N,,BG,BG,N
Y,BLHY,Virtus Newfleet Dynamic Credit,P, ,Y,100.0,N,,BLHY,BLHY,N
Y,BRFS,BRF S.A.,N, ,N,100.0,N,,BRFS,BRFS,N
Y,BSA,BrightSphere Investment Group Inc. 5.125% Notes due 2031,N, ,N,100.0,N,,BSA,BSA,N
Y,BSAC,Banco Santander - Chile ADS,N, ,N,100.0,N,,BSAC,BSAC,N
Y,BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),N, ,N,100.0,N,,BUD,BUD,N
Y,BVN,Buenaventura Mining Company Inc.,N, ,N,100.0,N,,BVN,BVN,N
Y,BWX,SPDR Bloomberg Barclays Intl Treasury Bd,P, ,Y,100.0,N,,BWX,BWX,N
Y,CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),A, ,N,100.0,N,,CANF,CANF,N
Y,CCZ,Comcast Holdings ZONES,N, ,N,100.0,N,,CCZ,CCZ,N
Y,CHNGU,Change Healthcare Inc. - Tangible Equity Units,Q,Q,N,100.0,N,N,,CHNGU,N
Y,CHSCN,CHS Inc - Preferred Class B Series 2 Reset Rate,Q,Q,N,100.0,N,N,,CHSCN,N
Y,COHN,Cohen & Company Inc.,A, ,N,100.0,N,,COHN,COHN,N
Y,COWNL,Cowen Inc. - 7.75% Senior Notes due 2033,Q,Q,N,100.0,N,N,,COWNL,N
Y,COWNZ,Cowen Inc. - 7.35% Senior Notes Due 2027,Q,Q,N,100.0,N,N,,COWNZ,N
Y,CUK,Carnival Plc ADS ADS,N, ,N,100.0,N,,CUK,CUK,N
Y,DRW,WisdomTree Global ex-US Real Estate Index,P, ,Y,100.0,N,,DRW,DRW,N
Y,DS,Drive Shack Inc.,N, ,N,100.0,N,,DS,DS,N
Y,DTJ,DTE Energy Company 2016 Series B 5.375% Junior Subordinated Debentures due 2076,N, ,N,100.0,N,,DTJ,DTJ,N
Y,DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,N, ,N,100.0,N,,DTW,DTW,N
Y,DTY,DTE Energy Company 2016 Series F 6.00% Junior Subordinated Debentures due 2076,N, ,N,100.0,N,,DTY,DTY,N
Y,DXB,Deutsche Bk Contingent Cap TR II Tr Pfd Sec,N, ,N,100.0,N,,DXB,DXB,N
Y,EBAYL,eBay Inc. - 6.0% Notes Due 2056,Q,Q,N,100.0,N,N,,EBAYL,N
Y,ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,N, ,N,100.0,N,,ECCX,ECCX,N
Y,ECCY,Eagle Point Credit Company Inc. 6.75% Notes due 2027,N, ,N,100.0,N,,ECCY,ECCY,N
Y,EH,EHang Holdings Limited - ADS,Q,G,N,100.0,N,N,,EH,N
Y,ENBA,Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078,N, ,N,100.0,N,,ENBA,ENBA,N
Y,EQNR,Equinor ASA,N, ,N,100.0,N,,EQNR,EQNR,N
Y,FLY,Fly Leasing Limited,N, ,N,100.0,N,,FLY,FLY,N
Y,FRLG,Large Cap Growth Index-Linked Exchange Traded Notes due 2028,P, ,N,100.0,N,,FRLG,FRLG,N
Y,GBLIZ,Global Indemnity Limited - 7.75% Subordinated Note Due 2045,Q,Q,N,100.0,N,N,,GBLIZ,N
Y,GEO,Geo Group Inc (The) REIT,N, ,N,100.0,N,,GEO,GEO,N
Y,GFLU,GFL Environmental Inc. Tangible Equity Units,N, ,N,100.0,N,,GFLU,GFLU,N
Y,GJH,Synthetic Fixed-Income Securities Inc 6.375% (STRATS) Cl A-1,N, ,N,100.0,N,,GJH,GJH,N
Y,GPK,Graphic Packaging Holding Company,N, ,N,100.0,N,,GPK,GPK,N
Y,GRN,iPath Series B Carbon Exchange-Traded Notes,P, ,N,100.0,N,,GRN,GRN,N
Y,GSC,Goldman Sachs Connect S&P Enhanced Commodity Total Return Strategy Index,P, ,N,100.0,N,,GSC,GSC,N
Y,HHHHU,Wealthbridge Acquisition Limited - Unit,Q,S,N,100.0,N,N,,HHHHU,N
Y,HMY,Harmony Gold Mining Company Limited,N, ,N,100.0,N,,HMY,HMY,N
Y,HTH,Hilltop Holdings Inc.,N, ,N,100.0,N,,HTH,HTH,N
Y,IEP,Icahn Enterprises L.P. - Depositary units,Q,Q,N,100.0,N,N,,IEP,N
Y,IHY,VanEck Vectors International High Yield Bond,P, ,Y,100.0,N,,IHY,IHY,N
Y,IPLDP,Interstate Power and Light Company - Interstate Power & Light Company Perp Preferred 5.10% Series D,Q,Q,N,100.0,N,N,,IPLDP,N
Y,JMPNL,JMP Group LLC - 7.25% Senior Notes due 2027,Q,G,N,100.0,N,N,,JMPNL,N
Y,JMPNZ,JMP Group LLC - 6.875% Senior Notes due 2029,Q,G,N,100.0,N,N,,JMPNZ,N
Y,KB,KB Financial Group Inc,N, ,N,100.0,N,,KB,KB,N
Y,KMX,CarMax Inc,N, ,N,100.0,N,,KMX,KMX,N
Y,KNX,Knight-Swift Transportation Holdings Inc.,N, ,N,100.0,N,,KNX,KNX,N
Y,LCII,LCI Industries,N, ,N,100.0,N,,LCII,LCII,N
Y,LND,Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil),N, ,N,100.0,N,,LND,LND,N
Y,LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS,N, ,N,100.0,N,,LOMA,LOMA,N
Y,LOUP,Innovator Loup Frontier Tech E,P, ,Y,100.0,N,,LOUP,LOUP,N
Y,LTM,LATAM Airlines Group S.A.,N, ,N,100.0,N,,LTM,LTM,N
Y,MAXR,Maxar Technologies Inc.,N, ,N,100.0,N,,MAXR,MAXR,N
Y,MBT,Mobile TeleSystems PJSC,N, ,N,100.0,N,,MBT,MBT,N
Y,MDLQ,Medley LLC 7.25% Notes due 2024,N, ,N,100.0,N,,MDLQ,MDLQ,N
Y,MDLX,Medley LLC 6.875% Senior Notes due 2026,N, ,N,100.0,N,,MDLX,MDLX,N
Y,MFGP,Micro Focus Intl PLC ADS each representing One Ord Sh,N, ,N,100.0,N,,MFGP,MFGP,N
Y,MKD,Molecular Data Inc. - ADS,Q,S,N,100.0,N,N,,MKD,N
Y,NBR,Nabors Industries Ltd.,N, ,N,100.0,N,,NBR,NBR,N
Y,NG,Novagold Resources Inc.,A, ,N,100.0,N,,NG,NG,N
Y,NGD,New Gold Inc.,A, ,N,100.0,N,,NGD,NGD,N
Y,NOAH,Noah Holdings Limited,N, ,N,100.0,N,,NOAH,NOAH,N
Y,NPO,EnPro Industries Inc,N, ,N,100.0,N,,NPO,NPO,N
Y,OIL,iPath Series B S&P GSCI Crude Oil,P, ,Y,100.0,N,,OIL,OIL,N
Y,ONE,OneSmart International Education Group Limited ADS,N, ,N,100.0,N,,ONE,ONE,N
